nom1;nom2;nom3;nom4;code_postal;longitude;latitude
tertry;TERTRY;tertry;Tertry;80200;3.06667;49.8667
miraumont;MIRAUMONT;miraumont;Miraumont;80300;2.73333;50.1
epagne-epagnette;EPAGNE-EPAGNETTE;epagne epagnette;Épagne-Épagnette;80580;1.86667;50.0667
cramont;CRAMONT;cramont;Cramont;80370;02.05;50.15
saleux;SALEUX;saleux;Saleux;80480;2.25;49.8667
conty;CONTY;conty;Conty;80160;2.15;49.7333
plachy-buyon;PLACHY-BUYON;plachy buyon;Plachy-Buyon;80160;2.21667;49.8167
bouvaincourt-sur-bresle;BOUVAINCOURT-SUR-BRESLE;bouvaincourt sur bresle;Bouvaincourt-sur-Bresle;80220;1.5;50.0333
guizancourt;GUIZANCOURT;guizancourt;Guizancourt;80290;2;49.7333
heudicourt-80;HEUDICOURT;heudicourt;Heudicourt;80122;3.08333;50.0167
boves;BOVES;boves;Boves;80440;2.38333;49.85
nesle-l-hopital;NESLE-L'HOPITAL;nesle l hopital;Nesle-l'Hôpital;80140;1.7;49.9
wargnies;WARGNIES;wargnies;Wargnies;80670;2.25;50.0333
chaussee-tirancourt;LA CHAUSSEE-TIRANCOURT;la chaussee tirancourt;La Chaussée-Tirancourt;80310;2.15;49.95
villers-bretonneux;VILLERS-BRETONNEUX;villers bretonneux;Villers-Bretonneux;80380;2.51667;49.8667
vaux-en-amienois;VAUX-EN-AMIENOIS;vaux en amienois;Vaux-en-Amiénois;80260;2.25;49.9667
rivery;RIVERY;rivery;Rivery;80136;2.31667;49.9167
becordel-becourt;BECORDEL-BECOURT;becordel becourt;Bécordel-Bécourt;80300;2.68333;49.9833
saigneville;SAIGNEVILLE;saigneville;Saigneville;80230;1.71667;50.1333
vergies;VERGIES;vergies;Vergies;80270;1.85;49.9333
liercourt;LIERCOURT;liercourt;Liercourt;80580;1.9;50.0333
carnoy;CARNOY;carnoy;Carnoy;80300;2.75;49.9833
herly-80;HERLY;herly;Herly;80190;2.88333;49.75
riencourt;RIENCOURT;riencourt;Riencourt;80310;02.05;49.9167
saint-quentin-la-motte-croix-au-bailly;SAINT-QUENTIN-LA-MOTTE-CROIX-AU-BAILLY;saint quentin la motte croix au bailly;Saint-Quentin-la-Motte-Croix-au-Bailly;80880;1.45195;50.0737
quivieres;QUIVIERES;quivieres;Quivières;80400;3.03333;49.8
estrees-les-crecy;ESTREES-LES-CRECY;estrees les crecy;Estrées-lès-Crécy;80150;1.91667;50.25
hargicourt-80;HARGICOURT;hargicourt;Hargicourt;80500;2.53333;49.7167
curlu;CURLU;curlu;Curlu;80360;2.81667;49.9667
thieulloy-l-abbaye;THIEULLOY-L'ABBAYE;thieulloy l abbaye;Thieulloy-l'Abbaye;80126;1.93333;49.8167
buigny-les-gamaches;BUIGNY-LES-GAMACHES;buigny les gamaches;Buigny-lès-Gamaches;80220;1.56667;50.0167
eplessier;EPLESSIER;eplessier;Éplessier;80290;1.95;49.7833
woincourt;WOINCOURT;woincourt;Woincourt;80520;1.53333;50.0667
cottenchy;COTTENCHY;cottenchy;Cottenchy;80440;2.38333;49.8
ferrieres-80;FERRIERES;ferrieres;Ferrières;80470;2.18333;49.9
sancourt-80;SANCOURT;sancourt;Sancourt;80400;3.03333;49.7667
yvrencheux;YVRENCHEUX;yvrencheux;Yvrencheux;80150;1.98333;50.1833
rouvrel;ROUVREL;rouvrel;Rouvrel;80250;2.41667;49.7667
foucaucourt-en-santerre;FOUCAUCOURT-EN-SANTERRE;foucaucourt en santerre;Foucaucourt-en-Santerre;80340;2.77528;49.8748
puzeaux;PUZEAUX;puzeaux;Puzeaux;80320;2.83333;49.8
bonnay-80;BONNAY;bonnay;Bonnay;80800;2.51667;49.9333
pargny;PARGNY;pargny;Pargny;80190;2.95;49.7833
montigny-les-jongleurs;MONTIGNY-LES-JONGLEURS;montigny les jongleurs;Montigny-les-Jongleurs;80370;2.13333;50.1833
rouvroy-en-santerre;ROUVROY-EN-SANTERRE;rouvroy en santerre;Rouvroy-en-Santerre;80170;2.71667;49.7667
vraignes-les-hornoy;VRAIGNES-LES-HORNOY;vraignes les hornoy;Vraignes-lès-Hornoy;80640;1.91667;49.8333
villeroy-80;VILLEROY;villeroy;Villeroy;80140;1.73333;49.9333
saveuse;SAVEUSE;saveuse;Saveuse;80730;2.21667;49.8833
contre-80;CONTRE;contre;Contré;80160;2.1;49.75
chuignes;CHUIGNES;chuignes;Chuignes;80340;2.75;49.9
proyart;PROYART;proyart;Proyart;80121;2.7;49.8833
